Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
N-(4-nitro-toluene-2-sulfonyl)-glutamic acid; N-(4-Nitro-toluol-2-sulfonyl)-glutaminsaeure,CC1=CC=C(C=C1S(=O)(=O)NC(CCC(O)=O)C(O)=O)N(=O)=O,346.318,,9803.92,12,Article; Siegfried; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 43; (1904); p. 68;,H2O,1 part(s) of substance.dissolves in:102 parts of solvent.,FPSLJPXPJIEMLS-UHFFFAOYSA-N
D-glucaric acid bis-isopentylamide; D-Glucarsaeure-bis-isopentylamid; D-Zuckersaeure-bis-isopentylamid,[H][C@](O)(C(=O)NCCC(C)C)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)C(=O)NCCC(C)C,348.44,,1500,24.5,Article; Kurtz; Wilson; Journal of Biological Chemistry; vol. 129; (1939); p. 695;,H2O,100 g solvent dissolves. 0.15 g Substance.,OYODMDTXVTZILG-XDQVBPFNSA-N
D-glucaric acid bis-pentylamide; D-Glucarsaeure-bis-pentylamid; D-Zuckersaeure-bis-pentylamid,[H][C@](O)(C(=O)NCCCCC)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)C(=O)NCCCCC,348.44,,200,24.5,Article; Kurtz; Wilson; Journal of Biological Chemistry; vol. 129; (1939); p. 695;,H2O,100 g solvent dissolves. 0.02 g Substance.,YBKQKCCOWDNHQD-XDQVBPFNSA-N
"2,4,2',4'-tetraethyl-5,5'-dimethyl-1H,1'H-1,1'-ethanediyl-bis-pyrimidin-6-one; 2,4,2',4'-Tetraaethyl-5,5'-dimethyl-1H,1'H-1,1'-aethandiyl-bis-pyrimidin-6-on",CCC1=NC(CC)=C(C)C(=O)N1CCN1C(=O)C(C)=C(CC)N=C1CC,358.484,,98.04,24,"Article; v. Meyer,E.; Journal fuer Praktische Chemie (Leipzig); vol. <2> 26; (1882); p. 355,358, 360;",H2O,1 part(s) of substance.dissolves in:10200 parts of solvent.,WWCRXUSARPSDHB-UHFFFAOYSA-N
"1,1-di-p-tolyl-galactitol; 1,1-Di-p-tolyl-galactit; 1,1-Di-p-tolyl-glucit",CC1=CC=C(C=C1)C(O)(C(O)C(O)C(O)C(O)CO)C1=CC=C(C)C=C1,362.423,,3300,20,Article; Paal; Chemische Berichte; vol. 49; (1916); p. 1587;,H2O,"0.33 part(s) of substance.dissolves in:100 parts of solvent.; omega,omega-di-p-tolyl-d-sorbitol",IYCDTWNGZNKQDU-UHFFFAOYSA-N
2-benzyl-1-phenyl-gluco-1-deoxy-heptitol; 2-Benzyl-1-phenyl-galacto-1-desoxy-heptit; 2-Benzyl-1-phenyl-gluco-1-desoxy-heptit,OCC(O)C(O)C(O)C(O)C(O)(CC1=CC=CC=C1)CC1=CC=CC=C1,362.423,,400,20,Article; Paal; Chemische Berichte; vol. 49; (1916); p. 1587;,H2O,"0.04 part(s) of substance.dissolves in:100 parts of solvent.; omega,omega-dibenzyl-d-sorbitol",QEOSCXACXNFJCY-UHFFFAOYSA-N
4-(6-bromo-6-deoxy-beta-D-glucopyranosyloxy)-3-methoxy-benzaldehyde; 4-(6-Brom-6-desoxy-beta-D-glucopyranosyloxy)-3-methoxy-benzaldehyd,COC1=C(O[C@@H]2O[C@H](CBr)[C@@H](O)[C@H](O)[C@H]2O)C=CC(C=O)=C1,377.189,,2000,30,"Article; Helferich et al.; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 248; (1937); p. 85,91;",H2O,Solubility:2 g/kg.,WMAQHTUKOVEBNY-RKQHYHRCSA-N
"N-[3-(1,1-dioxo-1lambda6-[1,2]thiazinan-2-yl)-phenyl]-beta-D-galactopyranosylamine; N-<3-Amino-phenyl>-butansultam-(1,4)-N'-beta-D-galaktosid",OC[C@H]1O[C@@H](NC2=CC(=CC=C2)N2CCCCS2(=O)=O)[C@H](O)[C@@H](O)[C@H]1O,388.442,99000-39-2,20000,25,"Article; Helferich,B. et al.; Justus Liebigs Annalen der Chemie; vol. 651; (1962); p. 17 - 29;",H2O,Solubilty: 2 weight-percent,JEWWPCYRZCTKOV-LYYZXLFJSA-N
D-glucose-[4-(4-bromo-phenyl)-semicarbazone]; D-Glucose-[4-(4-brom-phenyl)-semicarbazon],[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=NNC(=O)NC1=CC=C(Br)C=C1,392.206,,6400,20,"Article; Barre; Piche; Canadian Journal of Research, Section B: Chemical Sciences; vol. 20; (1942); p. 17,19;",H2O,100 g solvent dissolves. 0.64 g Substance.,XERSNARDCYWUPM-IRCOFANPSA-N
4-(6-iodo-6-deoxy-beta-D-glucopyranosyloxy)-3-methoxy-benzaldehyde; 4-(6-Jod-6-desoxy-beta-D-glucopyranosyloxy)-3-methoxy-benzaldehyd,COC1=C(O[C@@H]2O[C@H](CI)[C@@H](O)[C@H](O)[C@H]2O)C=CC(C=O)=C1,424.189,,1800,30,"Article; Helferich et al.; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 248; (1937); p. 85,91;",H2O,Solubility:1.8 g/kg.,XVZIYHWCPSASJN-RKQHYHRCSA-N
"bis-(2-dipropoxyphosphoryloxy-ethyl)-ether; O,O'-Bis-dipropoxyphosphoryl-diaethylenglykol; Bis-(2-dipropoxyphosphoryloxy-aethyl)-aether",CCCOP(=O)(OCCC)OCCOCCOP(=O)(OCCC)OCCC,434.404,109598-81-4,15000,28,Patent; Celanese Corp.Am.; US2782128; (1952);,H2O,Solubility :1.5 Gew.-prozent percent.,HQOFHMGCSOWXRN-UHFFFAOYSA-N
"(+/-)-chicoric acid; O,O'-Bis-(3,4-dihydroxy-trans-cinnamoyl)-DL-weinsaeure; (+/-)-Zichoriensaeure",[H][C@](OC(=O)\C=C\C1=CC(O)=C(O)C=C1)(C(O)=O)[C@@]([H])(OC(=O)\C=C\C1=CC(O)=C(O)C=C1)C(O)=O,474.378,6537-80-0; 52248-48-3; 53797-30-1; 70831-56-0; 133520-29-3,1000,20,"Article; Scarpati; Oriente; Tetrahedron; vol. 4; (1958); p. 43,44, 45;",H2O,100 g solvent dissolves. 0.1 g Substance.,YDDGKXBLOXEEMN-IABMMNSOSA-N
N?-(1-(N-(methyl)benzylaminomethyl)-2-oxoindolin-3-ylidene)-2-(benzyloxy)benzohydrazide,CN(CN1C(=O)C(=NNC(=O)C2=C(OCC3=CC=CC=C3)C=CC=C2)C2=CC=CC=C12)CC1=CC=CC=C1,504.588,,0.76,29.99,"Article; Shakeel, Faiyaz; Haq, Nazrul; Radwan, Awwad A.; Alanazi, Fars K.; Alsarra, Ibrahim A.; Journal of Molecular Liquids; vol. 220; (2016); p. 108 - 112;",water,Solubility: 0.00015 molpercent,PVGJDQKJVMUVKC-UHFFFAOYSA-N
N?-(1-(N-(methyl)benzylaminomethyl)-2-oxoindolin-3-ylidene)-2-(benzyloxy)benzohydrazide,CN(CN1C(=O)C(=NNC(=O)C2=C(OCC3=CC=CC=C3)C=CC=C2)C2=CC=CC=C12)CC1=CC=CC=C1,504.588,,56.01,24.99,"Article; Shakeel, Faiyaz; Haq, Nazrul; Radwan, Awwad A.; Alanazi, Fars K.; Alsarra, Ibrahim A.; Journal of Molecular Liquids; vol. 220; (2016); p. 108 - 112;",water,Solubility: 0.0111 molpercent,PVGJDQKJVMUVKC-UHFFFAOYSA-N
"21-alpha(?)-D-glucopyranosyloxy-17-hydroxy-pregn-4-ene-3,20-dione; 21-alpha(?)-D-Glucopyranosyloxy-17-hydroxy-pregn-4-en-3,20-dion",[H][C@@]12CC[C@](O)(C(=O)CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,508.609,,300,23,"Article; Meystre; Miescher; Helvetica Chimica Acta; vol. 34; (1951); p. 2286,2288;",H2O,Solubility:0.3 g/kg.,FLHHRZUDPYYQIZ-NDZZWQBISA-N
"21-beta-D-glucopyranosyl-17-hydroxy-pregn-4-ene-3,11,20-trione; 21-beta-D-Glucopyranosyl-17-hydroxy-pregn-4-en-3,11,20-trion",[H][C@@]12CC[C@](O)(C(=O)CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,522.593,,6000,23,"Article; Meystre; Miescher; Helvetica Chimica Acta; vol. 34; (1951); p. 2286,2288;",H2O,Solubility:6 g/kg.,ULXLLSQSIZARRX-VKOREYDRSA-N
3-(4-methylphenylsulfonamino)-2-methoxy-5-(4-morpholinoquinazolin-6-yl)benzamide,COC1=C(C=C(C=C1NS(=O)(=O)C1=CC=C(C)C=C1)C1=CC=C2N=CN=C(N3CCOCC3)C2=C1)C(N)=O,533.608,1404227-58-2,8652.45,24.99,"Article; Chen, Jiangang; Nan, Guanjun; Yang, Rong; Zhang, Sanqi; Bian, Xiaoli; Yang, Guangde; Journal of Molecular Liquids; vol. 204; (2015); p. 137 - 146;",water,Solubility: 1.6215 molpercent,ZQBGIAINDVONMH-UHFFFAOYSA-N
3-(4-fluorophenylsulfonamino)-2-methoxy-5-(4-morpholinoquinolin-6-yl)benzamide,COC1=C(C=C(C=C1NS(=O)(=O)C1=CC=C(F)C=C1)C1=CC=C2N=CC=C(N3CCOCC3)C2=C1)C(N)=O,536.584,1404227-75-3,3948.19,24.99,"Article; Chen, Jiangang; Nan, Guanjun; Yang, Rong; Zhang, Sanqi; Bian, Xiaoli; Yang, Guangde; Journal of Molecular Liquids; vol. 204; (2015); p. 137 - 146;",water,Solubility: 0.7358 molpercent,ADJQKZLSELSLFP-UHFFFAOYSA-N
3-(4-fluorophenylsulfonamino)-2-methoxy-5-(4-morpholinoquinazolin-6-yl)benzamide,COC1=C(C=C(C=C1NS(=O)(=O)C1=CC=C(F)C=C1)C1=CC=C2N=CN=C(N3CCOCC3)C2=C1)C(N)=O,537.571,1404227-55-9,4911.79,24.99,"Article; Chen, Jiangang; Nan, Guanjun; Yang, Rong; Zhang, Sanqi; Bian, Xiaoli; Yang, Guangde; Journal of Molecular Liquids; vol. 204; (2015); p. 137 - 146;",water,Solubility: 0.9137 molpercent,JXGKOKBJBSYWPT-UHFFFAOYSA-N
"di-tert-butyl [6-chloro-5-(2,3-dichlorophenoxy)-2-(methylthio)-1H-benzimidazol-1-yl]methyl phosphate; [6-chloro-2-methylthio-5-(2,3-dichlorophenoxy)-1H-benzimidazol-1-yl]methyl di-tert-butyl phosphate",CSC1=NC2=CC(OC3=C(Cl)C(Cl)=CC=C3)=C(Cl)C=C2N1COP(=O)(OC(C)(C)C)OC(C)(C)C,581.884,,2.6,25,"Patent; UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO; CASTILLO BOCANEGRA, Rafael; FLORES RAMOS, Miguel Angel; HERNANDEZ CAMPOS, Maria Alicia; IBARRA VELARDE, Osvaldo Froylan; VERA MONTENEGRO, Remedios Yolanda; (13 pag.)US2017/327470; (2017); A1;",water,Solubility: 0.00026 g/100g solvent,DMUGFCMTPWKLCV-UHFFFAOYSA-N
"phosphoric acid tris-(2,2,2-trinitro-ethyl ester); Phosphorsaeure-tris-(2,2,2-trinitro-aethylester)",O=N(=O)C(COP(=O)(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,587.135,,2000,20,Patent; Nitroglycerin A.B.; DE934694; (1952);,H2O,Solubility :0.2 percent.,KRIMEBLQTYNHJF-UHFFFAOYSA-N
"17beta-beta-maltosyloxy-estra-1,3,5(10)-trien-3-ol; 17beta-beta-Maltosyloxy-oestra-1,3,5(10)-trien-3-ol",[H][C@@]12CC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,596.672,,100,20,"Article; Meystre; Miescher; Helvetica Chimica Acta; vol. 27; (1944); p. 1153,1157;",H2O,Solubility:0.01 percent.,KMLFHOQVVJOSRN-CFAVIPICSA-N
bis-(2-carboxy-phenyl)-acetic acid; Diphenylmethan-2.2'.alpha-tricarbonsaeure; 2.2'-Dicarboxy-diphenylessigsaeure; Bis-(2-carboxy-phenyl)-essigsaeure,OC(=O)C(C1=C(C=CC=C1)C(O)=O)C1=C(C=CC=C1)C(O)=O,300.268,22589-07-7,950,25,Article; Graebe; Juillard; Justus Liebigs Annalen der Chemie; vol. 242; (1887); p. 222;,H2O,0.095 part(s) of substance.dissolves in:100 parts of solvent.,AOTLXSIYOKZSAI-UHFFFAOYSA-N
"2-(2,2-bis-ethoxycarbonyl-ethyl)-benzoic acid; 2-(2,2-Bis-aethoxycarbonyl-aethyl)-benzoesaeure; 2-Carboxy-benzylmalonsaeure-diaethylester",CCOC(=O)C(CC1=C(C=CC=C1)C(O)=O)C(=O)OCC,294.304,14746-25-9,448.43,17,Article; Wislicenus; Justus Liebigs Annalen der Chemie; vol. 242; (1887); p. 46;,H2O,1 part(s) of substance.dissolves in:2230 parts of solvent.,ZTPGRZLRJVEVLX-UHFFFAOYSA-N
"9,10-dioxo-9,10-dihydro-anthracene-1,5-disulfonic acid dianilide; 9,10-Dioxo-9,10-dihydro-anthracen-1,5-disulfonsaeure-dianilid; Anthrachinon-disulfonsaeure-(1.5)-dianilid",O=C1C2=CC=CC(=C2C(=O)C2=C1C(=CC=C2)S(=O)(=O)NC1=CC=CC=C1)S(=O)(=O)NC1=CC=CC=C1,518.571,,4000,18,"Article; Fierz-David,H.E.; Helvetica Chimica Acta; vol. 10; (1927); p. 199; Journal fuer Praktische Chemie (Leipzig); vol. <2>131; (1931); p. 374;",H2O,1 part(s) of substance.dissolves in:250 parts of solvent.,TXMPLDGCJRXQHF-UHFFFAOYSA-N
"9,10-dioxo-9,10-dihydro-anthracene-1,8-disulfonic acid dianilide; 9,10-Dioxo-9,10-dihydro-anthracen-1,8-disulfonsaeure-dianilid; Anthrachinon-disulfonsaeure-(1.8)-dianilid",O=C1C2=CC=CC(=C2C(=O)C2=C1C=CC=C2S(=O)(=O)NC1=CC=CC=C1)S(=O)(=O)NC1=CC=CC=C1,518.571,,23809.52,18,"Article; Fierz-David,H.E.; Helvetica Chimica Acta; vol. 10; (1927); p. 199; Journal fuer Praktische Chemie (Leipzig); vol. <2>131; (1931); p. 374;",H2O,1 part(s) of substance.dissolves in:42 parts of solvent.,RNBCTEHVFYBFDB-UHFFFAOYSA-N
3-(4-nitro-toluene-2-sulfonylamino)-valeric acid; 3-(4-Nitro-toluol-2-sulfonylamino)-valeriansaeure,CCC(CC(O)=O)NS(=O)(=O)C1=C(C)C=CC(=C1)N(=O)=O,316.335,,146,25,Article; Anziegin; Gulewitsch; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 158; (1926); p. 38;,H2O,100 g solvent dissolves. 0.0146 g Substance.,SNELQFNMXNSQIU-UHFFFAOYSA-N
3-(N'-[1]naphthyl-ureido)-valeric acid; beta-[omega-(alpha-Naphthyl)-ureido]-n-valeriansaeure; 3-(N'-[1]Naphthyl-ureido)-valeriansaeure,CCC(CC(O)=O)NC(=O)NC1=CC=CC2=CC=CC=C12,286.331,,170,25,Article; Anziegin; Gulewitsch; Hoppe-Seyler's Zeitschrift fuer Physiologische Chemie; vol. 158; (1926); p. 38;,H2O,100 g solvent dissolves. 0.016-.018 g Substance.,SKNWDKOBKFQQMG-UHFFFAOYSA-N
1-[(4-nitro-benzenesulfonylcarbamoyl)-methyl]-pyridinium betaine; 1-[(4-Nitro-benzolsulfonylcarbamoyl)-methyl]-pyridinium-betain,O=C(C[N+]1=CC=CC=C1)[N-]S(=O)(=O)C1=CC=C(C=C1)N(=O)=O,321.313,111977-83-4,250,20,"Article; Kloetzer; Monatshefte fuer Chemie; vol. 87; (1956); p. 313,316;",H2O,100 g solvent dissolves. 0.025 g Substance.,PQBLUUFRWIZKDT-UHFFFAOYSA-N
1-(sulfanilylcarbamoyl-methyl)-pyridinium betaine; 1-(Sulfanilylcarbamoyl-methyl)-pyridinium-betain,NC1=CC=C(C=C1)S(=O)(=O)[N-]C(=O)C[N+]1=CC=CC=C1,291.331,109016-82-2,10000,20,"Article; Kloetzer; Monatshefte fuer Chemie; vol. 87; (1956); p. 313,316;",H2O,100 g solvent dissolves. 1 g Substance.,WUVPSMGCCXWMMK-UHFFFAOYSA-N
"5,5'-dihydroxy-4,4'-[N',N'''-(2-hydroxy-m-phenylene)-dihydrazino]-bis-naphthalene-2,7-disulfonic acid; 5,5'-Dihydroxy-4,4'-[N',N'''-(2-hydroxy-m-phenylen)-dihydrazino]-bis-naphthalin-2,7-disulfonsaeure; 2,6-Bis-[N'-(8-hydroxy-3,6-disulfo-[1]naphthyl)-hydrazino]-phenol",OC1=C2C(NNC3=CC=CC(NNC4=CC(=CC5=CC(=CC(O)=C45)S(O)(=O)=O)S(O)(=O)=O)=C3O)=CC(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O,758.742,,38000,20,"Article; Maslennikow; Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation); vol. 31; (1958); p. 1277,1278; engl. Ausg. S. 1265, 1266;",H2O,100 g solvent dissolves. 3.8 g Substance.,BJVOGQFBDXBHKC-UHFFFAOYSA-N
"2,3'-benzoylimino-di-propionic acid; 2,3'-Benzoylimino-di-propionsaeure",CC(N(CCC(O)=O)C(=O)C1=CC=CC=C1)C(O)=O,265.266,,72000,20,Article; McKinney et al.; Journal of the American Chemical Society; vol. 74; (1952); p. 5183;,H2O,100 g solvent dissolves. 7.2 g Substance.,FXXDPMMUSACTPR-UHFFFAOYSA-N
"nona-N-methyl-4,4',4''-ethoxymethanetriyl-tri-anilinium; (4.4'.4''-Tris-dimethylamino-triphenylcarbinol-aethylaether)-tris-jodmethylat; Nona-N-methyl-4,4',4''-aethoxymethantriyl-tri-anilinium",CCOC(C1=CC=C(C=C1)[N+](C)(C)C)(C1=CC=C(C=C1)[N+](C)(C)C)C1=CC=C(C=C1)[N+](C)(C)C,462.699,,305000,18,Article; Rosenstiehl; Bulletin de la Societe Chimique de France; vol. <3>13; (1895); p. 557 Anm.;,H2O,30.5 part(s) of substance.dissolves in:100 parts of solvent.,CBCBCQCKFDASTN-UHFFFAOYSA-N
"nona-N-methyl-4,4',4''-isopentyloxymethanetriyl-tri-anilinium; (4.4'.4''-Tris-dimethylamino-triphenylcarbinol-isoamylaether)-tris-jodmethylat; Nona-N-methyl-4,4',4''-isopentyloxymethantriyl-tri-anilinium",CC(C)CCOC(C1=CC=C(C=C1)[N+](C)(C)C)(C1=CC=C(C=C1)[N+](C)(C)C)C1=CC=C(C=C1)[N+](C)(C)C,504.779,,480000,18,Article; Rosenstiehl; Bulletin de la Societe Chimique de France; vol. <3>13; (1895); p. 557 Anm.;,H2O,48 part(s) of substance.dissolves in:100 parts of solvent.,LRUWILCXCMTKFV-UHFFFAOYSA-N
"1,1,1-trichloro-2,2-bis-sulfanilylamino-ethane; 1,1,1-Trichlor-2,2-bis-sulfanilylamino-aethan",NC1=CC=C(C=C1)S(=O)(=O)NC(NS(=O)(=O)C1=CC=C(N)C=C1)C(Cl)(Cl)Cl,473.788,409314-55-2,260,20,"Article; Rodighiero; Gazzetta Chimica Italiana; vol. 81; (1951); p. 80,87;",H2O,Solubility :0.026 percent.,VNIGDIUGLRXRBJ-UHFFFAOYSA-N
trimethyl-(sulfanilylcarbamoyl-methyl)-ammonium betaine; Trimethyl-(sulfanilylcarbamoyl-methyl)-ammonium-betain,C[N+](C)(C)CC(=O)[N-]S(=O)(=O)C1=CC=C(N)C=C1,271.34,117875-84-0,150000,20,"Article; Kloetzer; Monatshefte fuer Chemie; vol. 87; (1956); p. 313,316;",H2O,Solubility :15 percent.,YWDFYXLQEPPLKH-UHFFFAOYSA-N
monosulphomethylmelamine,NC1=NC(NCS(O)(=O)=O)=NC(N)=N1,220.212,92613-09-7,600,20,"Article; Kunka, I.; Wirpsza, Z.; Tetrahedron; vol. 40; 10; (1984); p. 1855 - 1856;",H2O,Solubilty: 0.06 p(g/100g solution),VKQVCJBSXUXNRY-UHFFFAOYSA-N
"(-)-2,4-diisopropyl-3-thia-glutaric acid; (-)-2,4-Diisopropyl-3-thia-glutarsaeure",CC(C)C(SC(C(C)C)C(O)=O)C(O)=O,234.317,20664-40-8; 20756-87-0,10400,25,Article; Ahlberg; Journal fuer Praktische Chemie (Leipzig); vol. <2> 107; (1924); p. 291; Chemische Berichte; vol. 61; (1928); p. 817;,H2O,Solubility :1.04 percent.,OUHPYBUUDXRJCY-UHFFFAOYSA-N
"2-Hexyldimethylammonio-aethan-sulfonsaeure-(1)-betain, Decyldimethyltaurinbetain",CCCCCC[N+](C)(C)CCS([O-])(=O)=O,237.364,94982-19-1,655000,30,"Article; Barnhurst,J.D.; Journal of Organic Chemistry; vol. 26; (1961); p. 4520 - 4522;",H2O,Solubility: 65.5 p(g/100g solution),ZBGPUFHYHDEUHE-UHFFFAOYSA-N
"2-Decyldimethylammonio-aethan-sulfonsaeure-(1)-betain, Decyldimethyltaurinbetain",CCCCCCCCCC[N+](C)(C)CCS([O-])(=O)=O,293.471,97260-62-3,2200,30,"Article; Barnhurst,J.D.; Journal of Organic Chemistry; vol. 26; (1961); p. 4520 - 4522;",H2O,Solubility: 0.22 p(g/100g solution),MUYVRNZDHUEQMS-UHFFFAOYSA-N
kartolin,CC(C)OC(=O)NCCOC(=O)NC1=CC=C(Cl)C=C1,300.742,,0.38,20,"Article; Vlasov, O. N.; Sukhova, S. I.; Abbakumova, N. V.; Russian Journal of Physical Chemistry; vol. 67; 1; (1993); p. 171 - 172; Zhurnal Fizicheskoi Khimii; vol. 67; 1; (1993); p. 189 - 190;",H2O,Solubility: 1.25E-4 mol-percent,OYGKZISHHKFFGI-UHFFFAOYSA-N
"4.4'.4''-tris-dimethylamino-triphenylcarbinol-methyl ether tris hydroxymethylate; 4.4'.4''-Tris-dimethylamino-triphenylcarbinol-methylaether-tris-hydroxymethylat; (4.4'.4''-Tris-dimethylamino-triphenylcarbinol-methylaether)-tris-jodmethylat; Nona-N-methyl-4,4',4''-methoxymethantriyl-tri-anilinium",COC(C1=CC=C(C=C1)[N+](C)(C)C)(C1=CC=C(C=C1)[N+](C)(C)C)C1=CC=C(C=C1)[N+](C)(C)C,448.672,,242200,18,Article; Rosenstiehl; Bulletin de la Societe Chimique de France; vol. <3>13; (1895); p. 557 Anm.;,H2O,24.22 part(s) of substance.dissolves in:100 parts of solvent.,REZHQQYWNYWRCQ-UHFFFAOYSA-N
,CC(C)(O)CO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1207.1,,2900,22,"Article; Lindberg, Bengt; Lindberg, Johan; Pitha, Josef; Rao, C. Trinadha; Harata, Kazuaki; Carbohydrate Research; vol. 222; (1991); p. 113 - 120;",H2O,Solubilty: 0.29 weight-percent,FHQWIIWQCBLVTM-FPPUMMFJSA-N
,OC[C@@H](O)CO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1209.08,139593-49-0; 139683-65-1,15400,22,"Article; Lindberg, Bengt; Lindberg, Johan; Pitha, Josef; Rao, C. Trinadha; Harata, Kazuaki; Carbohydrate Research; vol. 222; (1991); p. 113 - 120;",H2O,Solubilty: 1.54 weight-percent,DDUNQGXUZLQMHA-JESBNOQJSA-N
,OC[C@H](O)CO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1209.08,139593-49-0; 139683-65-1,11900,22,"Article; Lindberg, Bengt; Lindberg, Johan; Pitha, Josef; Rao, C. Trinadha; Harata, Kazuaki; Carbohydrate Research; vol. 222; (1991); p. 113 - 120;",H2O,Solubilty: 1.19 weight-percent,DDUNQGXUZLQMHA-JUFQYABCSA-N
Russupteridin-gelb I,[H][C@@](O)(CO)[C@@]([H])(O)[C@@]([H])(O)CN1C(=N\C=O)\C(N)=NC2=C1NC(=O)NC2=O,356.295,,5000,20,"Article; Iten, Peter Xaver von; Maerki-Danzig, Hana; Koch, Herbert; Eugster, Conrad Hans; Helvetica Chimica Acta; vol. 67; 63; (1984); p. 550 - 569;",H2O,Solubility: 0.5 weight-percent,FXZNMYYZFXEFJF-LUYTYUCQSA-N
"5-hydroxy-1,5-dimethylhexylisothiocyanate",CC(CCCC(C)(C)O)N=C=S,187.306,194154-06-8,1800,25,"Article; Tajima; Kimoto; Taketo; Taketo; Bioscience, biotechnology, and biochemistry; vol. 62; 3; (1998); p. 491 - 495;",H2O,Solubility: 0.18 weight-percent,VZLLFLRJDJWOEM-UHFFFAOYSA-N
,CCCCCCCCCSCCOCCO,248.43,122295-21-0,36.02,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.000145 mol/kg,AMGNSAFASRPNDZ-UHFFFAOYSA-N
,CCCCCCCCCSCCOCCOCCO,292.483,122295-24-3,57.03,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.000195 mol/kg,AZFHBRWQLOAJGP-UHFFFAOYSA-N
,CCCCCCCSCCOCCO,220.376,122295-20-9,440.75,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.0020 mol/kg,JXNBRFNPLJDFCV-UHFFFAOYSA-N
,CCCCCCCSCCOCCOCCO,264.43,122295-23-2,687.52,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.0026 mol/kg,VGUGZDXMCFKWEE-UHFFFAOYSA-N
,CCCCCCSCCOCCOCCO,250.403,87385-54-4,2278.67,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.0091 mol/kg,WRKMHGBLFGTHHZ-UHFFFAOYSA-N
